cds_code,name,district,county,county_code,street,city,zip,phone,website,latitude,longitude,grade_low,grade_high,grade_source,level,total_enrollment,k8_enrollment,teachers_ft,teachers_pt,student_teacher_ratio,grades_used,school_shape,is_selectable,is_virtual,sector,status,grade_span_raw,slug
01751016172456,ACELLUS - CARROLL,Pleasanton Unified,Alameda,01,,,,,,,,0,12,PSA enrollment by grade,k12,13,9,1,1,6.5,13,homeschool_shaped,False,False,private,Active,K-12,acellus-carroll-alameda
01612006159180,Acton Academy East Bay,Livermore Valley Joint Unified,Alameda,01,,,,,,,,0,9,PSA enrollment by grade,k12,18,17,3,1,4.5,10,micro,True,False,private,Active,K-9,acton-academy-east-bay-alameda
01611926965909,All Saints Catholic School,Hayward Unified,Alameda,01,,,,,,,,0,8,PSA enrollment by grade,k8,150,150,8,3,13.6,9,established,True,False,private,Active,K-8,all-saints-catholic-school-alameda
01611767103799,Alsion Montessori Middle/High,Fremont Unified,Alameda,01,,,,,,,,7,12,PSA enrollment by grade,middle_high,50,15,4,0,12.5,6,established,True,False,private,Active,7-12,alsion-montessori-middle-high-alameda
01611436135743,American International Montessori School,Berkeley Unified,Alameda,01,,,,,,,,0,5,PSA enrollment by grade,elementary,46,46,22,2,1.9,6,established,True,False,private,Active,K-5,american-international-montessori-school-alameda
01612916972574,Assumption,San Leandro Unified,Alameda,01,,,,,,,,0,8,PSA enrollment by grade,k8,260,260,17,2,13.7,9,established,True,False,private,Active,K-8,assumption-alameda
01612597071632,Aurora School,Oakland Unified,Alameda,01,,,,,,,,0,8,PSA enrollment by grade,k8,75,75,10,2,6.2,9,established,True,False,private,Active,K-8,aurora-school-alameda
01611766152276,BASIS Independent Fremont,Fremont Unified,Alameda,01,,,,,,,,0,5,PSA enrollment by grade,elementary,352,352,35,0,10.1,6,established,True,False,private,Active,K-5,basis-independent-fremont-alameda
01611766159222,BASIS Independent Fremont Upper School,Fremont Unified,Alameda,01,,,,,,,,6,12,PSA enrollment by grade,middle_high,353,161,33,0,10.7,7,established,True,False,private,Active,6-12,basis-independent-fremont-upper-school-alameda
01611430117002,Bayhill High,Berkeley Unified,Alameda,01,,,,,,,,7,12,PSA enrollment by grade,middle_high,67,5,11,1,5.6,6,established,True,False,private,Active,7-12,bayhill-high-alameda
01611926975999,Bayside Adventist Christian School,Hayward Unified,Alameda,01,,,,,,,,0,5,PSA enrollment by grade,elementary,9,9,2,0,4.5,6,homeschool_shaped,False,False,private,Active,K-5,bayside-adventist-christian-school-alameda
01612596134100,Baywood Learning Centers,Oakland Unified,Alameda,01,,,,,,,,1,12,PSA enrollment by grade,k12,75,54,0,4,18.8,12,established,True,False,private,Active,1-12,baywood-learning-centers-alameda
01100176175277,Beauty by Krystal,Alameda County Office of Education,Alameda,01,,,,,,,,0,12,PSA enrollment by grade,k12,124,81,1,1,62.0,13,established,True,False,private,Active,K-12,beauty-by-krystal-alameda
01611766169924,Benjamites Academy,Fremont Unified,Alameda,01,,,,,,,,0,8,PSA enrollment by grade,k8,6,6,2,0,3.0,6,homeschool_shaped,False,False,private,Active,K-8,benjamites-academy-alameda
01612596967475,Bentley School,Oakland Unified,Alameda,01,,,,,,,,0,8,PSA enrollment by grade,k8,359,359,42,0,8.5,9,established,True,False,private,Active,K-8,bentley-school-alameda
