cds_code,nces_id,name,district,county,county_code,street,city,zip,phone,website,latitude,longitude,grade_low,grade_high,grade_span_raw,grade_source,level,is_charter,is_magnet,is_multilingual,is_year_round,virtual_code,is_virtual,school_type_label,is_selectable,sector,status,principal,last_updated,slug
01100170130419,069105106830,Alameda County Community,Alameda County Office of Education,Alameda,01,313 West Winton Avenue,Hayward,94544-1136,(510) 670-4590,www.acoe.org,37.658212,-122.09713,8.0,12.0,8-12,GSserved,middle_high,False,False,False,False,C,False,County Community,False,public,Active,Jenaver Goodman,02/09/2023,alameda-county-community-hayward
01100170114363,069105112013,American Indian Public Charter School II,Alameda County Office of Education,Alameda,01,171 12th Street,Oakland,94607-4900,(510) 893-8701,www.aimsk12.org,37.800368,-122.26548,0.0,8.0,K-8,GSserved,k8,True,False,False,False,N,False,Elementary School (Public),True,public,Active,LaResha Huffman,08/20/2026,american-indian-public-charter-school-ii-oakland
01100170106906,069105110720,Bay Area Technology,Alameda County Office of Education,Alameda,01,1445 23rd Avenue,Oakland,94606,(510) 382-9932,www.baytechschool.org,37.784279,-122.23566,6.0,12.0,6-12,GSserved,middle_high,True,False,False,False,N,False,K-12 School (Public),True,public,Active,Seth Feldman,07/25/2026,bay-area-technology-oakland
01100170136101,069105114091,Connecting Waters Charter - East Bay,Alameda County Office of Education,Alameda,01,703 C Street,Union City,94587-2195,(209) 874-1119,https://eastbay.connectingwaters.org/,37.603623,-122.0253,0.0,12.0,K-12,GSserved,k12,True,False,False,False,N,False,K-12 School (Public),True,public,Active,Tammy Hushaw,02/24/2026,connecting-waters-charter-east-bay-union-city
01100176001788,069105104257,Cox Academy,Alameda County Office of Education,Alameda,01,9860 Sunnyside Street,Oakland,94603-2750,(510) 904-6300,www.efcps.org,37.746513,-122.16182,0.0,5.0,K-5,GSserved,elementary,True,False,False,False,N,False,Elementary School (Public),True,public,Active,Larissa Adam,03/26/2025,cox-academy-oakland
01100170112607,069105110947,Downtown Oakland Science Academy,Alameda County Office of Education,Alameda,01,1515 Webster Street,Oakland,94612-3355,(510) 596-8901,www.envisionacademy.org/,37.80452,-122.26815,6.0,12.0,6-12,GSserved,middle_high,True,False,False,False,N,False,K-12 School (Public),True,public,Active,Justin Wells,08/31/2026,downtown-oakland-science-academy-oakland
01100170129403,069105113772,Epic Charter,Alameda County Office of Education,Alameda,01,1045 Derby Avenue,Oakland,94601-2212,(510) 689-2035,www.efcps.net,37.777049,-122.2296,6.0,8.0,6-8,GSserved,middle,False,False,True,False,N,False,Intermediate/Middle School (Public),True,public,Active,Larissa Adam,02/10/2021,epic-charter-oakland
01100170138867,069105114443,Hayward Collegiate Charter,Alameda County Office of Education,Alameda,01,166 West Harder Road,Hayward,94544-2742,(650) 520-3915,www.haywardcollegiate.org,37.648124,-122.08239,0.0,6.0,K-6,GSserved,elementary,True,False,False,False,N,False,Elementary School (Public),True,public,Active,Danilo Juarez,08/29/2025,hayward-collegiate-charter-hayward
01100176002000,069105104288,Lazear Charter Academy,Alameda County Office of Education,Alameda,01,824 29th Avenue,Oakland,94601-2205,(510) 689-2000,www.efcps.org,37.776239,-122.23207,0.0,8.0,K-8,GSserved,k8,True,False,False,False,N,False,Elementary School (Public),True,public,Active,Kaitlin Friedman,08/11/2026,lazear-charter-academy-oakland
01100170131581,069105113887,Oakland Unity Middle,Alameda County Office of Education,Alameda,01,1180 70th Avenue,Oakland,94621-3216,(510) 564-4851,www.unitymiddle.org,37.759123,-122.19094,6.0,8.0,6-8,GSserved,middle,True,False,False,True,N,False,Intermediate/Middle School (Public),True,public,Active,Sau-Lim (Lance) Tsang,02/09/2023,oakland-unity-middle-oakland
01100170124172,069105112901,Yu Ming Charter,Alameda County Office of Education,Alameda,01,2501 Chestnut Street,Oakland,94607-2477,(510) 452-2063,www.yumingschool.org,37.818228,-122.28233,0.0,8.0,K-8,GSserved,k8,True,False,True,False,N,False,Elementary School (Public),True,public,Active,Celia Pascual,05/15/2024,yu-ming-charter-oakland
01611190130609,060177008673,Alameda Community Learning Center,Alameda Unified,Alameda,01,1900 Third Street,Alameda,94501-1851,(510) 995-4300,www.alamedaclc.org,37.779051,-122.28703,6.0,12.0,6-12,GSserved,middle_high,True,False,False,True,N,False,K-12 School (Public),True,public,Active,Annalisa Moore,05/23/2025,alameda-community-learning-center-alameda
01611196100374,060177000043,Amelia Earhart Elementary,Alameda Unified,Alameda,01,400 Packet Landing Road,Alameda,94502-6534,(510) 748-4003,https://earhart.alamedaunified.org/,37.745289,-122.23928,0.0,5.0,K-5,GSserved,elementary,False,False,False,False,N,False,Elementary School (Public),True,public,Active,Bryan Dunn-Ruiz,05/23/2025,amelia-earhart-elementary-alameda
01611196110779,060177000006,Bay Farm,Alameda Unified,Alameda,01,200 Aughinbaugh Way,Alameda,94502-7451,(510) 748-4010,https://bayfarm.alamedaunified.org/,37.738998,-122.25195,0.0,5.0,K-5,GSserved,elementary,False,False,False,False,N,False,Elementary School (Public),True,public,Active,Rahima Abdel-Hamid,08/28/2025,bay-farm-alameda
01611196090013,060177000044,Edison Elementary,Alameda Unified,Alameda,01,2700 Buena Vista Avenue,Alameda,94501-1610,(510) 748-4002,https://edison.alamedaunified.org/,37.765083,-122.23421,0.0,5.0,K-5,GSserved,elementary,False,False,False,False,N,False,Elementary School (Public),True,public,Active,Gregory Sahakian,05/23/2025,edison-elementary-alameda
01611190132142,060177000045,Encinal Junior/Senior High,Alameda Unified,Alameda,01,210 Central Avenue,Alameda,94501-3246,(510) 748-4023,https://encinal.alamedaunified.org/,37.772765,-122.289,6.0,12.0,6-12,GSserved,middle_high,False,False,False,False,N,False,K-12 School (Public),True,public,Active,Kirstin Snyder,09/30/2024,encinal-junior-senior-high-alameda
01611196090021,060177000054,Frank Otis Elementary,Alameda Unified,Alameda,01,3010 Fillmore Street,Alameda,94501-5544,(510) 748-4013,https://otis.alamedaunified.org/,37.754029,-122.23799,0.0,5.0,K-5,GSserved,elementary,False,False,False,False,N,False,Elementary School (Public),True,public,Active,Brian Dodson,05/23/2025,frank-otis-elementary-alameda
01611196090039,060177004337,Franklin Elementary,Alameda Unified,Alameda,01,1433 San Antonio Avenue,Alameda,94501-4039,(510) 748-4004,https://franklin.alamedaunified.org/,37.769036,-122.2616,0.0,5.0,K-5,GSserved,elementary,False,False,False,False,N,False,Elementary School (Public),True,public,Active,Jean Liu,08/31/2026,franklin-elementary-alameda
01611196090054,060177000049,Lincoln Middle,Alameda Unified,Alameda,01,1250 Fernside Boulevard,Alameda,94501-4808,(510) 748-4018,https://lincoln.alamedaunified.org/,37.752242,-122.23276,6.0,8.0,6-8,GSserved,middle,False,False,False,False,N,False,Intermediate/Middle School (Public),True,public,Active,Sheila SatheWarner,05/16/2024,lincoln-middle-alameda
01611196090047,060177000047,Love Elementary,Alameda Unified,Alameda,01,2025 Santa Clara Avenue,Alameda,94501-2720,(510) 748-4005,https://love.alamedaunified.org/,37.769332,-122.25106,0.0,5.0,K-5,GSserved,elementary,False,False,False,False,N,False,Elementary School (Public),True,public,Active,Mark Segado,08/31/2026,love-elementary-alameda
01611190139220,060177013107,Maya Lin,Alameda Unified,Alameda,01,825 Taylor Avenue,Alameda,94501-3411,(510) 748-4007,https://mayalin.alamedaunified.org/,37.772663,-122.27145,0.0,5.0,K-5,GSserved,elementary,False,False,False,False,N,False,Elementary School (Public),True,public,Active,Karen Ringewald,05/23/2025,maya-lin-alameda
